Sample_ID,Nest_ID,Site_Number,Sdag_C293,Sol_55,Sol_6,C147,i_130,i_120_PigTail,C368_PigTail,C334,C121_PigTail,C485,C259,C294,i_113,Sol_J1,Jackstraw_PigTail,i_109,C216_pigtail
ARG05_12e,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,212,98,165,276,113,154,223
ARG05_12e,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,223,98,165,276,113,154,223
ARG05_12f,ARG05_12,1,245,177,NA,73,275,312,207,199,159,120,NA,98,165,276,113,154,223
ARG05_12f,ARG05_12,1,245,177,NA,73,275,312,207,199,159,120,NA,98,165,276,113,154,223
ARG05_12g,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,212,98,165,276,113,154,223
ARG05_12g,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,223,98,165,276,113,154,223
ARG05_12h,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,161,278,113,154,219
ARG05_12h,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,167,278,115,154,219
ARG05_12i,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,212,98,165,276,113,154,223
ARG05_12i,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,223,98,165,276,113,154,223
ARG05_12k,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,212,98,165,276,113,154,223
ARG05_12k,ARG05_12,1,245,177,93,73,275,312,207,199,159,120,223,98,165,276,113,154,223
ARG05_12male,ARG05_12,1,NA,177,84,73,275,318,209,199,159,116,212,98,161,278,115,154,219
ARG05_12male,ARG05_12,1,NA,177,84,73,275,318,209,199,159,116,212,98,161,278,115,154,219
ARG05_13a,ARG05_13,1,245,177,84,73,275,318,207,199,159,116,212,98,163,278,113,154,219
ARG05_13a,ARG05_13,1,245,177,84,73,275,318,207,199,159,116,212,98,167,281,115,154,219
ARG05_14a,ARG05_14,1,243,177,84,73,275,312,207,199,161,114,223,98,165,284,113,156,209
ARG05_14a,ARG05_14,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,156,209
ARG05_14h,ARG05_14,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_14h,ARG05_14,1,243,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_14i,ARG05_14,1,243,177,84,73,275,312,207,199,161,114,223,98,165,284,113,156,209
ARG05_14i,ARG05_14,1,243,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_14j,ARG05_14,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_14j,ARG05_14,1,243,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_14k,ARG05_14,1,243,177,84,73,275,312,207,199,161,114,223,98,165,284,113,154,209
ARG05_14k,ARG05_14,1,243,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_14male,ARG05_14,1,NA,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_14male,ARG05_14,1,NA,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_15a,ARG05_15,1,245,177,84,73,259,312,209,199,159,114,212,98,165,278,113,154,219
ARG05_15a,ARG05_15,1,245,177,84,73,259,312,209,199,159,114,212,98,165,278,113,154,219
ARG05_15c,ARG05_15,1,245,177,84,NA,259,312,209,NA,159,114,212,98,165,278,113,154,219
